FCS_ANNOTATION_ID	COMPENSATION_FLAG	EXPERIMENT_ACCESSION	EXPSAMPLE_ACCESSION	FILE_INFO_ID	MAXIMUM_INTENSITY	MINIMUM_INTENSITY	NUMBER_OF_EVENTS	NUMBER_OF_MARKERS	PANEL	WORKSPACE_ID
20735	N	EXP3727	ES89088	66104	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
20926	N	EXP3727	ES89095	66486	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
20921	N	EXP3727	ES89096	66476	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22604	N	EXP3727	ES89103	68706	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
20931	N	EXP3727	ES89134	66496	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
20971	N	EXP3727	ES89139	66576	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22572	N	EXP3727	ES89150	68642	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22578	N	EXP3727	ES89153	68654	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
20394	N	EXP3727	ES89158	65422	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
20759	N	EXP3727	ES89168	66152	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
20762	N	EXP3727	ES89169	66158	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
20959	N	EXP3727	ES89173	66552	1023	0	70020	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22484	N	EXP3727	ES89193	68466	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
20374	N	EXP3727	ES89205	65382	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22650	N	EXP3727	ES89234	68798	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
22651	N	EXP3727	ES89235	68800	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
