FCS_HEADER_ID	PARAMETER_NUMBER	PNN_REPORTED	PNS_REPORTED	PNN_PREFERRED	PNN_PREFERRED_TERM_ID	PNS_PREFERRED	PNS_PREFERRED_TERM_ID
111720	3	FL1-H	Anti-HLA-DR FITC				
111720	4	FL2-H	PE CD123				
111720	5	FL3-H	PP CD3 14 19 56				
111720	6	FL4-H	APC CD11C				
93291	1	FSC-H	FSC				
93291	2	SSC-H	SSC				
93291	3	FL1-H	FITC CD14				
93291	4	FL2-H	PE CD23				
93291	5	FL3-H	PP CD3				
93291	6	FL4-H	APC CD19				
138127	1	FSC-H	FSC				
138127	2	SSC-H	SSC				
138127	3	FL1-H	FITC CD4				
138127	4	FL2-H	PE CCR3				
138127	5	FL3-H	PP CD8				
138127	6	FL4-H	APC CCR4				
141089	1	FSC-H	FSC				
141089	2	SSC-H	SSC				
141089	3	FL1-H	FITC CD4				
141089	4	FL2-H	PE CD25				
141089	5	FL3-H	PP CD3				
141089	6	FL4-H	APC CD161				
95797	1	FSC-H	FSC				
95797	2	SSC-H	SSC				
95797	3	FL1-H	FITC CD4				
95797	4	FL2-H	PE CD25				
95797	5	FL3-H	PP CD3				
95797	6	FL4-H	APC CD45RA				
80200	1	FSC-H	FSC				
80200	2	SSC-H	SSC				
80200	3	FL1-H	FITC CD4				
80200	4	FL2-H	PE CD25				
80200	5	FL3-H	PP CD3				
80200	6	FL4-H	APC CD45RO				
84195	1	FSC-H	FSC				
