EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
ES104513	EXP3727	69608	Flow_Cytometry	FCM
ES104523	EXP3727	69232	Flow_Cytometry	FCM
ES104525	EXP3727	69389	Flow_Cytometry	FCM
ES104526	EXP3727	69385	Flow_Cytometry	FCM
ES104530	EXP3727	69383	Flow_Cytometry	FCM
ES104531	EXP3727	69392	Flow_Cytometry	FCM
ES104536	EXP3727	69247	Flow_Cytometry	FCM
ES104544	EXP3727	69349	Flow_Cytometry	FCM
ES104545	EXP3727	69354	Flow_Cytometry	FCM
ES104556	EXP3727	69639	Flow_Cytometry	FCM
ES104558	EXP3727	69645	Flow_Cytometry	FCM
ES104562	EXP3727	69187	Flow_Cytometry	FCM
ES104563	EXP3727	69193	Flow_Cytometry	FCM
ES104569	EXP3727	68916	Flow_Cytometry	FCM
ES104569	EXP3727	68917	Flow_Cytometry	FCM
ES104574	EXP3727	68908	Flow_Cytometry	FCM
ES104575	EXP3727	68905	Flow_Cytometry	FCM
ES104581	EXP3727	69524	Flow_Cytometry	FCM
ES104590	EXP3727	68028	Flow_Cytometry	FCM
ES104592	EXP3727	68030	Flow_Cytometry	FCM
ES104598	EXP3727	68846	Flow_Cytometry	FCM
ES104601	EXP3727	68839	Flow_Cytometry	FCM
ES104608	EXP3727	69292	Flow_Cytometry	FCM
ES104609	EXP3727	69303	Flow_Cytometry	FCM
ES104613	EXP3727	69366	Flow_Cytometry	FCM
ES104617	EXP3727	69365	Flow_Cytometry	FCM
ES104617	EXP3727	69364	Flow_Cytometry	FCM
ES104619	EXP3727	69376	Flow_Cytometry	FCM
ES104623	EXP3727	68896	Flow_Cytometry	FCM
ES104633	EXP3727	69134	Flow_Cytometry	FCM
ES104639	EXP3727	69511	Flow_Cytometry	FCM
ES104642	EXP3727	69512	Flow_Cytometry	FCM
ES104649	EXP3727	69553	Flow_Cytometry	FCM
ES147639	EXP3727	45536	Flow_Cytometry	FCM
ES147646	EXP3727	45551	Flow_Cytometry	FCM
ES147647	EXP3727	45552	Flow_Cytometry	FCM
ES147649	EXP3727	45556	Flow_Cytometry	FCM
ES147653	EXP3727	45564	Flow_Cytometry	FCM
ES147659	EXP3727	45576	Flow_Cytometry	FCM
ES147664	EXP3727	45587	Flow_Cytometry	FCM
ES147665	EXP3727	45588	Flow_Cytometry	FCM
ES147667	EXP3727	45592	Flow_Cytometry	FCM
ES147668	EXP3727	45594	Flow_Cytometry	FCM
ES147671	EXP3727	45601	Flow_Cytometry	FCM
ES147681	EXP3727	45620	Flow_Cytometry	FCM
ES147692	EXP3727	45643	Flow_Cytometry	FCM
ES147695	EXP3727	45649	Flow_Cytometry	FCM
ES147697	EXP3727	45653	Flow_Cytometry	FCM
ES147698	EXP3727	45655	Flow_Cytometry	FCM
ES147706	EXP3727	45671	Flow_Cytometry	FCM
ES147707	EXP3727	45672	Flow_Cytometry	FCM
ES147714	EXP3727	45686	Flow_Cytometry	FCM
ES147724	EXP3727	45707	Flow_Cytometry	FCM
ES147726	EXP3727	45710	Flow_Cytometry	FCM
ES147729	EXP3727	45716	Flow_Cytometry	FCM
ES147736	EXP3727	45730	Flow_Cytometry	FCM
ES147740	EXP3727	45739	Flow_Cytometry	FCM
ES147741	EXP3727	45741	Flow_Cytometry	FCM
ES147743	EXP3727	45744	Flow_Cytometry	FCM
ES147748	EXP3727	45755	Flow_Cytometry	FCM
ES147750	EXP3727	45759	Flow_Cytometry	FCM
ES147751	EXP3727	45760	Flow_Cytometry	FCM
ES147762	EXP3727	45783	Flow_Cytometry	FCM
ES147767	EXP3727	45793	Flow_Cytometry	FCM
ES147773	EXP3727	45805	Flow_Cytometry	FCM
ES147775	EXP3727	45809	Flow_Cytometry	FCM
ES147779	EXP3727	45817	Flow_Cytometry	FCM
ES147787	EXP3727	45832	Flow_Cytometry	FCM
ES147788	EXP3727	45834	Flow_Cytometry	FCM
ES147789	EXP3727	45837	Flow_Cytometry	FCM
ES147789	EXP3727	45836	Flow_Cytometry	FCM
ES147790	EXP3727	45839	Flow_Cytometry	FCM
ES147795	EXP3727	45849	Flow_Cytometry	FCM
ES147799	EXP3727	45856	Flow_Cytometry	FCM
ES147800	EXP3727	45858	Flow_Cytometry	FCM
ES147809	EXP3727	45876	Flow_Cytometry	FCM
ES147815	EXP3727	45889	Flow_Cytometry	FCM
ES147821	EXP3727	45901	Flow_Cytometry	FCM
ES147824	EXP3727	45906	Flow_Cytometry	FCM
ES147825	EXP3727	45908	Flow_Cytometry	FCM
ES147827	EXP3727	45912	Flow_Cytometry	FCM
ES147832	EXP3727	45922	Flow_Cytometry	FCM
ES147835	EXP3727	45929	Flow_Cytometry	FCM
ES147835	EXP3727	45928	Flow_Cytometry	FCM
ES147836	EXP3727	45931	Flow_Cytometry	FCM
ES147838	EXP3727	45934	Flow_Cytometry	FCM
ES147838	EXP3727	45935	Flow_Cytometry	FCM
ES147842	EXP3727	45943	Flow_Cytometry	FCM
ES147845	EXP3727	45948	Flow_Cytometry	FCM
ES147849	EXP3727	45956	Flow_Cytometry	FCM
ES147856	EXP3727	45971	Flow_Cytometry	FCM
ES147856	EXP3727	45970	Flow_Cytometry	FCM
ES147861	EXP3727	45981	Flow_Cytometry	FCM
ES147862	EXP3727	45982	Flow_Cytometry	FCM
ES147863	EXP3727	45984	Flow_Cytometry	FCM
ES147874	EXP3727	46006	Flow_Cytometry	FCM
ES147875	EXP3727	46008	Flow_Cytometry	FCM
ES147880	EXP3727	46018	Flow_Cytometry	FCM
ES147884	EXP3727	46027	Flow_Cytometry	FCM
ES147891	EXP3727	46040	Flow_Cytometry	FCM
ES147894	EXP3727	46047	Flow_Cytometry	FCM
ES147897	EXP3727	46053	Flow_Cytometry	FCM
ES147900	EXP3727	46058	Flow_Cytometry	FCM
ES147901	EXP3727	46060	Flow_Cytometry	FCM
ES147905	EXP3727	46069	Flow_Cytometry	FCM
ES147906	EXP3727	46070	Flow_Cytometry	FCM
ES147911	EXP3727	46080	Flow_Cytometry	FCM
ES147912	EXP3727	46083	Flow_Cytometry	FCM
ES147916	EXP3727	46090	Flow_Cytometry	FCM
ES147921	EXP3727	46101	Flow_Cytometry	FCM
ES147921	EXP3727	46100	Flow_Cytometry	FCM
ES147934	EXP3727	46126	Flow_Cytometry	FCM
ES147937	EXP3727	46132	Flow_Cytometry	FCM
